gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1951966761	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083517	Animalia	Chordata	Aves	Anseriformes	Anatidae	Branta	Branta bernicla		SPECIES	Branta bernicla (Linnaeus, 1758)	Branta bernicla		NL	Texel - Wagejot	Noord-Holland		120	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.05	4.85	5000.0						2014-10-10T00:00:00Z	10	10	2014	5232446	5232446	HUMAN_OBSERVATION		Observations	OBS.89083517				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T16:14:42.455Z		
1951966762	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083345	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris rapae		SPECIES	Pieris rapae (Linnaeus, 1758)	Pieris rapae		NL	Slenaken - Gulpdal / Bronbossen	Limburg		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	50.75	5.85	5000.0						2014-10-10T00:00:00Z	10	10	2014	1920496	1920496	HUMAN_OBSERVATION		Observations	OBS.89083345				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T22:06:14.289Z		
1951966763	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083384	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia ciconia		SPECIES	Ciconia ciconia (Linnaeus, 1758)	Ciconia ciconia		NL	Heteren - Boterhoek	Gelderland		2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.95	5.7	5000.0						2014-10-09T00:00:00Z	9	10	2014	2481912	2481912	HUMAN_OBSERVATION		Observations	OBS.89083384				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T17:11:06.468Z		
1951966764	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89082748	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	Motacilla alba		SPECIES	Motacilla alba Linnaeus, 1758	Motacilla alba		NL	Vught - Landgoed Bleijendijk	Noord-Brabant		4	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.6	5.3	5000.0						2014-10-10T00:00:00Z	10	10	2014	9687165	9687165	HUMAN_OBSERVATION		Observations	OBS.89082748				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T21:11:56.401Z		
1951966765	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083428	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser albifrons		SPECIES	Anser albifrons (Scopoli, 1769)	Anser albifrons		NL	Losser - Oelemars	Overijssel		210	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.25	7.0	5000.0						2014-10-10T00:00:00Z	10	10	2014	2498017	2498017	HUMAN_OBSERVATION		Observations	OBS.89083428				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T15:53:07.699Z		
1951966766	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083731	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	Passer montanus		SPECIES	Passer montanus (Linnaeus, 1758)	Passer montanus		NL	Nijkerk - Polder Arkemheen - Arlersteeg e.o.	Gelderland		7	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.25	5.45	5000.0						2014-10-10T00:00:00Z	10	10	2014	5231198	5231198	HUMAN_OBSERVATION		Observations	OBS.89083731				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T21:46:12.348Z		
1951966767	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083712	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus argentatus		SPECIES	Larus argentatus Pontoppidan, 1763	Larus argentatus		NL	IJmuiden - Zuidpier	Noord-Holland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.45	4.5	5000.0						2014-10-10T00:00:00Z	10	10	2014	2481139	2481139	HUMAN_OBSERVATION		Observations	OBS.89083712				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T21:58:50.487Z		
1951966768	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083867	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris alpina		SPECIES	Calidris alpina (Linnaeus, 1758)	Calidris alpina		NL	Den Oever - De Bak	Noord-Holland		300	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.9	5.0	5000.0						2014-10-10T00:00:00Z	10	10	2014	2481759	2481759	HUMAN_OBSERVATION		Observations	OBS.89083867				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T16:32:33.814Z		
1951966769	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083504	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	Motacilla alba		SPECIES	Motacilla alba Linnaeus, 1758	Motacilla alba		NL	Texel - Robbenjager	Noord-Holland		4	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.15	4.85	5000.0						2014-10-10T00:00:00Z	10	10	2014	9687165	9687165	HUMAN_OBSERVATION		Observations	OBS.89083504				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T21:11:59.356Z		
1951966770	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083408	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Carduelis	Carduelis carduelis		SPECIES	Carduelis carduelis (Linnaeus, 1758)	Carduelis carduelis		NL	Haarlemmerliede en Spaarnwoude (gemeente) 	Noord-Holland		2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.4	4.7	5000.0						2014-10-10T00:00:00Z	10	10	2014	2494686	2494686	HUMAN_OBSERVATION		Observations	OBS.89083408				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T16:45:55.963Z		
1951966771	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083507	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Phoenicurus	Phoenicurus phoenicurus		SPECIES	Phoenicurus phoenicurus (Linnaeus, 1758)	Phoenicurus phoenicurus		NL	Texel - Robbenjager	Noord-Holland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.15	4.85	5000.0						2014-10-10T00:00:00Z	10	10	2014	5739317	5739317	HUMAN_OBSERVATION		Observations	OBS.89083507				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-21T01:21:06.768Z		
1951966772	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083506	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus collybita		SPECIES	Phylloscopus collybita (Vieillot, 1817)	Phylloscopus collybita		NL	Texel - Robbenjager	Noord-Holland		2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.15	4.85	5000.0						2014-10-10T00:00:00Z	10	10	2014	2493091	2493091	HUMAN_OBSERVATION		Observations	OBS.89083506				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T22:00:39.431Z		
1951966773	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083086	Animalia	Chordata	Aves	Charadriiformes	Laridae	Chroicocephalus	Chroicocephalus ridibundus		SPECIES	Chroicocephalus ridibundus (Linnaeus, 1766)	Chroicocephalus ridibundus		NL	Almere - Tussen de vaarten	Flevoland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.35	5.25	5000.0						2014-10-10T00:00:00Z	10	10	2014	6065824	6065824	HUMAN_OBSERVATION		Observations	OBS.89083086				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-20T17:09:22.234Z		
1951966774	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083333	Animalia	Arthropoda	Insecta	Orthoptera	Tettigoniidae	Meconema	Meconema meridionale		SPECIES	Meconema meridionale A.Costa, 1860	Meconema meridionale		NL	Hoogkarspel	Noord-Holland		1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.65	5.15	5000.0						2014-10-10T00:00:00Z	10	10	2014	1690429	1690429	HUMAN_OBSERVATION		Observations	OBS.89083333				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-21T00:34:55.780Z		
1951966775	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/89083784	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus philomelos		SPECIES	Turdus philomelos C.L.Brehm, 1831	Turdus philomelos		NL	Maarn - Noordhout	Utrecht		5	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.05	5.3	5000.0						2014-10-10T00:00:00Z	10	10	2014	7901064	7901064	HUMAN_OBSERVATION		Observations	OBS.89083784				CC_BY_NC_4_0	Stichting Natuurinformatie				2019-09-21T03:46:01.146Z		
